Length Units,centimeter
Node,X(cm),Y(cm),Z(cm),VX(cm/s),VY(cm/s),VZ(cm/s),(5) 静圧 - dyne/cm2
1,-1.5428572E+01,0.0000000E+00,2.7692308E+01,6.6442117E-03,1.1639277E-04,-6.7467857E-03,-3.1757594E-05
2,-1.0285715E+01,0.0000000E+00,2.7692308E+01,5.6633162E-03,1.7960872E-04,-1.8268228E-02,-7.3336225E-05
3,-5.1428576E+00,0.0000000E+00,2.7692308E+01,3.2665939E-03,3.6283067E-04,-2.8798755E-02,-1.2506288E-04
4,0.0000000E+00,0.0000000E+00,2.7692308E+01,1.6995016E-04,1.6404486E-04,-3.3540118E-02,-1.3556883E-04
5,5.1428566E+00,0.0000000E+00,2.7692308E+01,-3.4807166E-03,2.0460191E-04,-2.9735971E-02,-1.3030371E-04
6,1.0285713E+01,0.0000000E+00,2.7692308E+01,-5.5759782E-03,1.4684205E-04,-1.9134376E-02,-8.3632185E-05
7,1.5428570E+01,0.0000000E+00,2.7692308E+01,-6.6160294E-03,-3.4887716E-04,-7.2106509E-03,-3.3518023E-05
8,-1.5428572E+01,0.0000000E+00,2.3076923E+01,1.7890757E-02,9.2578994E-05,-8.2787462E-03,-9.1789909E-05
9,-1.0285715E+01,0.0000000E+00,2.3076923E+01,1.7561872E-02,-6.3557806E-04,-2.3392633E-02,-2.5324902E-04
10,-5.1428576E+00,0.0000000E+00,2.3076923E+01,1.2164474E-02,2.4472340E-04,-4.0087968E-02,-4.2523205E-04
11,0.0000000E+00,0.0000000E+00,2.3076923E+01,4.3729725E-04,2.1784044E-04,-4.9329262E-02,-4.7283684E-04
12,5.1428566E+00,0.0000000E+00,2.3076923E+01,-1.2082831E-02,4.7535487E-04,-4.1595951E-02,-4.3592509E-04
13,1.0285713E+01,0.0000000E+00,2.3076923E+01,-1.7665893E-02,1.0057566E-04,-2.4632316E-02,-2.7902157E-04
14,1.5428570E+01,0.0000000E+00,2.3076923E+01,-1.8340752E-02,-7.3911942E-05,-8.2958126E-03,-1.0071674E-04
15,-1.5428572E+01,0.0000000E+00,1.8461538E+01,3.2636598E-02,-1.3923601E-04,-8.9676771E-03,-1.4786013E-04
16,-1.0285715E+01,0.0000000E+00,1.8461538E+01,4.2451683E-02,-7.6333113E-04,-3.7198462E-02,-5.2934070E-04
17,-5.1428576E+00,0.0000000E+00,1.8461538E+01,3.2456823E-02,4.2378454E-04,-7.5605728E-02,-9.1781875E-04
18,0.0000000E+00,0.0000000E+00,1.8461538E+01,1.4352079E-03,1.6304686E-03,-9.9099442E-02,-1.1024351E-03
19,5.1428566E+00,0.0000000E+00,1.8461538E+01,-3.3850964E-02,2.0172128E-03,-7.3047884E-02,-9.2298986E-04
20,1.0285713E+01,0.0000000E+00,1.8461538E+01,-3.9574713E-02,5.5670302E-04,-3.5539098E-02,-5.6336983E-04
21,1.5428570E+01,0.0000000E+00,1.8461538E+01,-3.4994915E-02,5.2789939E-05,-9.8944791E-03,-1.8064794E-04
22,-1.5428572E+01,0.0000000E+00,1.3846153E+01,4.5222841E-02,-1.4965800E-03,-2.0349748E-03,-2.4017617E-04
23,-1.0285715E+01,0.0000000E+00,1.3846153E+01,9.7349197E-02,-2.9070531E-03,-5.3233951E-02,-9.6011901E-04
24,-5.1428576E+00,0.0000000E+00,1.3846153E+01,9.5506020E-02,-5.8788247E-03,-1.7320049E-01,-1.9476048E-03
25,0.0000000E+00,0.0000000E+00,1.3846153E+01,5.4849880E-03,2.9689542E-03,-2.4898584E-01,-2.3835031E-03
26,5.1428566E+00,0.0000000E+00,1.3846153E+01,-9.5794357E-02,4.9754758E-03,-1.4363159E-01,-1.8422999E-03
27,1.0285713E+01,0.0000000E+00,1.3846153E+01,-8.4659934E-02,1.9666827E-03,-4.3572076E-02,-9.9410827E-04
28,1.5428570E+01,0.0000000E+00,1.3846153E+01,-5.2110612E-02,5.8133836E-04,-3.3906142E-03,-2.9687310E-04
29,-1.5428572E+01,0.0000000E+00,9.2307701E+00,3.0473212E-02,-4.7926870E-03,2.9075311E-02,-2.6824619E-04
30,-1.0285715E+01,0.0000000E+00,9.2307701E+00,1.7814800E-01,-7.5038886E-03,-1.0642043E-02,-1.0299776E-03
31,-5.1428576E+00,0.0000000E+00,9.2307701E+00,3.2935917E-01,5.1968871E-03,-3.4025148E-01,-3.6023641E-03
32,0.0000000E+00,0.0000000E+00,9.2307701E+00,2.0558396E-02,9.0838764E-03,-7.0172858E-01,-4.9256650E-03
33,5.1428566E+00,0.0000000E+00,9.2307701E+00,-3.2368061E-01,9.0583600E-04,-3.7181523E-01,-4.2040115E-03
34,1.0285713E+01,0.0000000E+00,9.2307701E+00,-1.8963100E-01,2.3626108E-03,-1.2833409E-02,-1.7664622E-03
35,1.5428570E+01,0.0000000E+00,9.2307701E+00,-4.4355668E-02,-3.6310898E-03,2.6538519E-02,-3.9151462E-04
36,-1.5428572E+01,0.0000000E+00,4.6153851E+00,-4.3415654E-02,-1.3385834E-02,4.3084413E-02,9.2877686E-05
37,-1.0285715E+01,0.0000000E+00,4.6153851E+00,2.5006396E-01,-5.0584100E-02,2.4140577E-01,-1.6033053E-03
38,-5.1428576E+00,0.0000000E+00,4.6153851E+00,1.3917757E+00,-1.2980798E-01,-1.3479806E+00,-6.9337161E-03
39,0.0000000E+00,0.0000000E+00,4.6153851E+00,-5.8819506E-02,7.1602941E-02,-2.1503057E+00,-1.2515113E-02
40,5.1428566E+00,0.0000000E+00,4.6153851E+00,-1.1271757E+00,1.9701183E-02,-1.3875786E+00,-1.4307098E-02
41,1.0285713E+01,0.0000000E+00,4.6153851E+00,-3.0623561E-01,-1.0215017E-01,2.8572571E-01,-3.0940892E-03
42,1.5428570E+01,0.0000000E+00,4.6153851E+00,5.6829188E-02,-2.0655086E-02,6.7223832E-02,-5.2377849E-04
43,-1.5428572E+01,0.0000000E+00,0.0000000E+00,-1.3616414E-01,1.7018979E-03,9.3546975E-04,-3.2127270E-04
44,-1.0285715E+01,0.0000000E+00,0.0000000E+00,-1.3840296E+00,-1.4522318E+00,-1.3754021E-02,4.3596500E-03
45,-5.1428576E+00,0.0000000E+00,0.0000000E+00,-1.3031271E+01,-2.4731211E+01,9.9368292E-01,-2.1197788E-02
46,0.0000000E+00,0.0000000E+00,0.0000000E+00,0.0000000E+00,0.0000000E+00,0.0000000E+00,0.0000000E+00
47,5.1428566E+00,0.0000000E+00,0.0000000E+00,1.2332322E+01,1.2731778E+01,-2.3899610E+00,-9.4686985E-02
48,1.0285713E+01,0.0000000E+00,0.0000000E+00,1.7383962E+00,4.8096275E-01,-8.6642884E-02,5.3147296E-03
49,1.5428570E+01,0.0000000E+00,0.0000000E+00,1.3724738E-01,-2.7099773E-02,1.6446970E-04,4.4629182E-04
50,-1.5428572E+01,0.0000000E+00,-4.6153831E+00,-5.3797413E-02,-5.4999306E-03,-4.6140883E-02,-2.1638238E-04
51,-1.0285715E+01,0.0000000E+00,-4.6153831E+00,1.8011929E-01,-1.5848534E-02,-1.3145715E-01,-3.3924477E-03
52,-5.1428576E+00,0.0000000E+00,-4.6153831E+00,9.9472994E-01,8.3812825E-02,7.8859806E-01,-1.1342350E-02
53,0.0000000E+00,0.0000000E+00,-4.6153831E+00,2.4149096E-02,-4.7561780E-02,1.0227377E+00,-1.5921578E-02
54,5.1428566E+00,0.0000000E+00,-4.6153831E+00,-6.7391825E-01,-1.8396152E-02,8.7948471E-01,-1.5011532E-02
55,1.0285713E+01,0.0000000E+00,-4.6153831E+00,-3.6678609E-01,-1.4713584E-01,-2.0205879E-01,-3.2715062E-03
56,1.5428570E+01,0.0000000E+00,-4.6153831E+00,5.3622153E-02,-3.5084181E-03,-5.5340409E-02,-7.2641321E-04
57,-1.5428572E+01,0.0000000E+00,-9.2307701E+00,1.7301908E-02,8.7338511E-04,-1.7531948E-02,-7.6694682E-04
58,-1.0285715E+01,0.0000000E+00,-9.2307701E+00,9.5067516E-02,1.3059751E-03,-1.6515052E-02,-2.1896544E-03
59,-5.1428576E+00,0.0000000E+00,-9.2307701E+00,1.7045346E-01,-6.0356972E-03,1.8603931E-01,-5.3262096E-03
60,0.0000000E+00,0.0000000E+00,-9.2307701E+00,9.3155773E-03,-8.7391315E-03,3.8475713E-01,-7.0650592E-03
61,5.1428566E+00,0.0000000E+00,-9.2307701E+00,-1.7412432E-01,-1.1692932E-02,2.1050306E-01,-5.8576264E-03
62,1.0285713E+01,0.0000000E+00,-9.2307701E+00,-1.0148465E-01,-7.4326983E-03,1.3896442E-02,-3.3186972E-03
63,1.5428570E+01,0.0000000E+00,-9.2307701E+00,-2.0957682E-02,-3.1754475E-03,-1.5276354E-02,-5.5935746E-04
64,-1.5428572E+01,0.0000000E+00,-1.3846153E+01,2.3779165E-02,-4.6466914E-04,-3.6410551E-04,-4.5246855E-04
65,-1.0285715E+01,0.0000000E+00,-1.3846153E+01,4.2311687E-02,-1.5612430E-03,1.9406820E-02,-1.5843511E-03
66,-5.1428576E+00,0.0000000E+00,-1.3846153E+01,5.6422863E-02,-3.8861537E-03,7.8479156E-02,-2.6792216E-03
67,0.0000000E+00,0.0000000E+00,-1.3846153E+01,-2.7409613E-03,-9.1040123E-04,1.3801318E-01,-3.3355914E-03
68,5.1428566E+00,0.0000000E+00,-1.3846153E+01,-5.0757248E-02,3.5089408E-03,1.0348442E-01,-2.8676291E-03
69,1.0285713E+01,0.0000000E+00,-1.3846153E+01,-5.2554328E-02,1.2141732E-03,3.1853512E-02,-1.8664305E-03
70,1.5428570E+01,0.0000000E+00,-1.3846153E+01,-2.2394745E-02,5.6396337E-04,-2.2846772E-03,-5.3452671E-04
71,-1.5428572E+01,0.0000000E+00,-1.8461536E+01,1.6645160E-02,-3.5137500E-04,3.8484277E-03,-2.9502099E-04
72,-1.0285715E+01,0.0000000E+00,-1.8461536E+01,2.0918110E-02,-3.8127651E-04,1.7354283E-02,-8.9892157E-04
73,-5.1428576E+00,0.0000000E+00,-1.8461536E+01,1.7976213E-02,-1.1221311E-03,3.7691761E-02,-1.4262932E-03
74,0.0000000E+00,0.0000000E+00,-1.8461536E+01,-9.8887039E-04,-1.0277770E-03,5.2397870E-02,-1.6751910E-03
75,5.1428566E+00,0.0000000E+00,-1.8461536E+01,-1.6669758E-02,-7.8615057E-04,4.0209919E-02,-1.4576314E-03
76,1.0285713E+01,0.0000000E+00,-1.8461536E+01,-2.1927644E-02,-9.3076305E-05,1.9521719E-02,-9.4828871E-04
77,1.5428570E+01,0.0000000E+00,-1.8461536E+01,-1.7660854E-02,-1.0037399E-04,4.7719060E-03,-2.6321464E-04
78,-1.5428572E+01,0.0000000E+00,-2.3076923E+01,8.9066401E-03,-1.1230946E-04,3.9555714E-03,-1.6200104E-04
79,-1.0285715E+01,0.0000000E+00,-2.3076923E+01,9.0509355E-03,3.2106589E-05,1.2084434E-02,-4.5004231E-04
80,-5.1428576E+00,0.0000000E+00,-2.3076923E+01,6.4257989E-03,-1.0271080E-04,2.1449210E-02,-6.8088761E-04
81,0.0000000E+00,0.0000000E+00,-2.3076923E+01,-3.4200514E-04,-2.5966062E-04,2.4991274E-02,-7.9470919E-04
82,5.1428566E+00,0.0000000E+00,-2.3076923E+01,-6.2099779E-03,-3.9808397E-04,2.0907855E-02,-6.9298735E-04
83,1.0285713E+01,0.0000000E+00,-2.3076923E+01,-9.2800250E-03,-7.5545024E-05,1.2182673E-02,-4.5709603E-04
84,1.5428570E+01,0.0000000E+00,-2.3076923E+01,-8.4859133E-03,1.9068152E-04,3.5736144E-03,-1.5717144E-04
85,-1.5428572E+01,0.0000000E+00,-2.7692307E+01,2.9620312E-03,-5.7151788E-05,3.3148301E-03,-4.8281217E-05
86,-1.0285715E+01,0.0000000E+00,-2.7692307E+01,3.1189835E-03,7.5692351E-06,9.5491502E-03,-1.3531192E-04
87,-5.1428576E+00,0.0000000E+00,-2.7692307E+01,1.8984268E-03,-1.1877464E-04,1.4950678E-02,-2.0905654E-04
88,0.0000000E+00,0.0000000E+00,-2.7692307E+01,1.6793891E-04,-2.5719401E-04,1.7287375E-02,-2.2592126E-04
89,5.1428566E+00,0.0000000E+00,-2.7692307E+01,-1.6823101E-03,-1.8973897E-04,1.4957095E-02,-2.0422011E-04
90,1.0285713E+01,0.0000000E+00,-2.7692307E+01,-2.8138396E-03,-5.2099283E-05,9.3650129E-03,-1.3360543E-04
91,1.5428570E+01,0.0000000E+00,-2.7692307E+01,-2.9714636E-03,-1.4677490E-04,3.4883097E-03,-4.5770747E-05
